Translated_Comment,Cleaned_Translated_Comment,Sentiment_Scores,Sentiment_Compound,Sentiment_Label
Apparently it's been around since 2000.  So nothing new here.,apparently its been around since 2000 so nothing new here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"**Everyone** ""its just a cold""  **Me** ""back to the bunker""",everyone its just a cold me back to the bunker,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
 have had HMPV here in Australia since before Christmas after attending a Christmas party. 8 of the group got sick at the same time.,have had hmpv here in australia since before christmas after attending a christmas party 8 of the group got sick at the same time,"{'neg': 0.118, 'neu': 0.786, 'pos': 0.096, 'compound': -0.1531}",-0.1531,Negative
Iâ€:trade_mark:ve got this right now and have been symptomatic for 26 days. It is severe.,iâtrade_markve got this right now and have been symptomatic for 26 days it is severe,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
2020 was a WTF year and there was covid. 2025 is a WTF year and there is hmpv.,2020 was a wtf year and there was covid 2025 is a wtf year and there is hmpv,"{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.8225}",-0.8225,Negative
"virus explosion in China and wildfire in California, remind you of something? oh yeah, 2019, a year before pandemic",virus explosion in china and wildfire in california remind you of something oh yeah 2019 a year before pandemic,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}",0.296,Positive
"This is not real news. The Hmpv virus is the common flu.  No proof of anything and no confirmation on the ground and they still report on it !!  This is just bad journalism, no one serious is reporting on this anywhere around the world â€¦.  This news is pure FEAR MONGERING",this is not real news the hmpv virus is the common flu no proof of anything and no confirmation on the ground and they still report on it this is just bad journalism no one serious is reporting on this anywhere around the world â this news is pure fear mongering,"{'neg': 0.286, 'neu': 0.694, 'pos': 0.02, 'compound': -0.938}",-0.938,Negative
Itâ€:trade_mark:s fine this is all talk if itâ€:trade_mark:s been around in Australia that long Iâ€:trade_mark:m sure we are all fine,itâtrade_marks fine this is all talk if itâtrade_marks been around in australia that long iâtrade_markm sure we are all fine,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.5994}",0.5994,Positive
First found....eg...developed,first foundegdeveloped,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"ok,if you say it will be another covid,how can you explain this? 1.if this is really gonna be serious like Covid,why is the airport not shutting down? 2.this shit ainâ€:trade_mark:t even spreading quickly as covid. 3.Its discovered in 2001.Not discovered new. 4.the symptoms are way less dangerous than covid,itâ€:trade_mark:s just cold and stuff. 5.similar to 4,the symptoms in covid is super deadly,cancer-causing,and could lead to life-threatening disease,unlike hmpv,just a cold or flu and thatâ€:trade_mark:s all. 6.the people in China are doing completely fine,nor the hospital being crowded,this is a red flag of it being clickbait. The news really have to shut up and normalize a flu season mild virus.If Iâ€:trade_mark:m wrong,correct me.",okif you say it will be another covidhow can you explain this 1if this is really gonna be serious like covidwhy is the airport not shutting down 2this shit ainâtrade_markt even spreading quickly as covid 3its discovered in 2001not discovered new 4the symptoms are way less dangerous than coviditâtrade_marks just cold and stuff 5similar to 4the symptoms in covid is super deadlycancercausingand could lead to lifethreatening diseaseunlike hmpvjust a cold or flu and thatâtrade_marks all 6the people in china are doing completely finenor the hospital being crowdedthis is a red flag of it being clickbait the news really have to shut up and normalize a flu season mild virusif iâtrade_markm wrongcorrect me,"{'neg': 0.106, 'neu': 0.843, 'pos': 0.051, 'compound': -0.6976}",-0.6976,Negative
"Me thinketh the latest research from the medical., experts suggest that the wearing of one blue and one red sock will protect people from any and all........monsters!@!?ðŸ¤ªðŸ˜‰ðŸ¤‘ðŸ¤‘ðŸ¤‘",me thinketh the latest research from the medical experts suggest that the wearing of one blue and one red sock will protect people from any and allmonstersðÿªðÿðÿðÿðÿ,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3818}",0.3818,Positive
Oh how convenient!,oh how convenient,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Stuck in limbo we are,stuck in limbo we are,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative
Originated in china!? Why am I not surprisedâ€¦.,originated in china why am i not surprisedâ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
they expect us to fall for this nonsense again ..?,they expect us to fall for this nonsense again,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.481}",-0.481,Negative
Influenza Aand B is worse,influenza aand b is worse,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
Another drama of labour which ruined VIC,another drama of labour which ruined vic,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
 had it me 12 took antibiotics and some lemon and ginger tea also cough medicine am good now,had it me 12 took antibiotics and some lemon and ginger tea also cough medicine am good now,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}",0.4404,Positive
More lies and Bullshit from MSM and Big Pharma.,more lies and bullshit from msm and big pharma,"{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.7996}",-0.7996,Negative
Are they getting 5 year olds to write these science fiction stories now ?,are they getting 5 year olds to write these science fiction stories now,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"And so the scam begins again. No interventions for me, mandated or not. My body my choice remember?",and so the scam begins again no interventions for me mandated or not my body my choice remember,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.7334}",-0.7334,Negative
alll lies of big pharma,alll lies of big pharma,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
"Oh get a grip, its a cold. Stop that music to exaggerating this bullshit. Media outlets and politicians lie to us the first time around so now they going to be honest???",oh get a grip its a cold stop that music to exaggerating this bullshit media outlets and politicians lie to us the first time around so now they going to be honest,"{'neg': 0.212, 'neu': 0.705, 'pos': 0.083, 'compound': -0.6249}",-0.6249,Negative
"Phew, luckily Australia just paid $100million for a mRNA vaccine facility. Incredible timing.",phew luckily australia just paid 100million for a mrna vaccine facility incredible timing,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5106}",0.5106,Positive
we're not falling for it again,were not falling for it again,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.1139}",0.1139,Positive
Why dont you people shut the airports down?,why dont you people shut the airports down,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Give me a break,give me a break,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Its normal to have a flue and cold, take naturalremedies. . They've been injecting people with  viruses to become sick.",its normal to have a flue and cold take naturalremedies theyve been injecting people with viruses to become sick,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.5106}",-0.5106,Negative
Is this from Ukrainian bio lab?,is this from ukrainian bio lab,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Im in Australia... I may have had this in November 2024... it just hit me overnight. When I went to bed I was feeling fine. When I woke up my throat was on fire, and progressively my symptoms got worse over the day.  I knew something was wrong, I felt very sick all over. After waiting in the hospital for hours to be seen (yep, and spreading it to everyone there), and me insisting that it was not just the ""flue that was going round"" they Xrayed me and waddaya know.... pneumonia!!! I was on two lots of antibiotics. They sent me home where I was so sick I couldnt move. Lucky I didnt flaming die at home. Im still weak from it. They told me it was some respiratory illness.",im in australia i may have had this in november 2024 it just hit me overnight when i went to bed i was feeling fine when i woke up my throat was on fire and progressively my symptoms got worse over the day i knew something was wrong i felt very sick all over after waiting in the hospital for hours to be seen yep and spreading it to everyone there and me insisting that it was not just the flue that was going round they xrayed me and waddaya know pneumonia i was on two lots of antibiotics they sent me home where i was so sick i couldnt move lucky i didnt flaming die at home im still weak from it they told me it was some respiratory illness,"{'neg': 0.16, 'neu': 0.783, 'pos': 0.057, 'compound': -0.9495}",-0.9495,Negative
My parents are non believers when it comes with viruses so i dont know how i think of this,my parents are non believers when it comes with viruses so i dont know how i think of this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"try harder globalists, no one's falling for this again. However I wonder, they can't be this dumb, maybe they have something else up their sleeve that they didn't pull out last time",try harder globalists no ones falling for this again however i wonder they cant be this dumb maybe they have something else up their sleeve that they didnt pull out last time,"{'neg': 0.166, 'neu': 0.794, 'pos': 0.04, 'compound': -0.6839}",-0.6839,Negative
"Done on purpose, no oneâ€:trade_mark:s going to get locked, up again there would be riots in the streets.",done on purpose no oneâtrade_marks going to get locked up again there would be riots in the streets,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.6705}",-0.6705,Negative
Bullshitting for $Billions...again?,bullshitting for billionsagain,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
