Cleaned_Translated_Comment,VADER_Sentiment,Label_Encoded_Sentiment
apparently its been around since 2000 so nothing new here,Neutral,1
everyone its just a cold me back to the bunker,Neutral,1
have had hmpv here in australia since before christmas after attending a christmas party 8 of the group got sick at the same time,Negative,0
ive got this right now and have been symptomatic for 26 days it is severe,Negative,0
2020 was a wtf year and there was covid 2025 is a wtf year and there is hmpv,Negative,0
virus explosion in china and wildfire in california remind you of something oh yeah 2019 a year before pandemic,Positive,2
this is not real news the hmpv virus is the common flu no proof of anything and no confirmation on the ground and they still report on it this is just bad journalism no one serious is reporting on this anywhere around the world  this news is pure fear mongering,Negative,0
its fine this is all talk if its been around in australia that long im sure we are all fine,Positive,2
first foundegdeveloped,Neutral,1
okif you say it will be another covidhow can you explain this 1if this is really gonna be serious like covidwhy is the airport not shutting down 2this shit aint even spreading quickly as covid 3its discovered in 2001not discovered new 4the symptoms are way less dangerous than covidits just cold and stuff 5similar to 4the symptoms in covid is super deadlycancercausingand could lead to lifethreatening diseaseunlike hmpvjust a cold or flu and thats all 6the people in china are doing completely finenor the hospital being crowdedthis is a red flag of it being clickbait the news really have to shut up and normalize a flu season mild virusif im wrongcorrect me,Negative,0
me thinketh the latest research from the medical experts suggest that the wearing of one blue and one red sock will protect people from any and allmonsters,Positive,2
oh how convenient,Neutral,1
stuck in limbo we are,Negative,0
originated in china why am i not surprised,Negative,0
they expect us to fall for this nonsense again,Negative,0
influenza aand b is worse,Negative,0
another drama of labour which ruined vic,Negative,0
had it me 12 took antibiotics and some lemon and ginger tea also cough medicine am good now,Positive,2
more lies and bullshit from msm and big pharma,Negative,0
are they getting 5 year olds to write these science fiction stories now,Neutral,1
and so the scam begins again no interventions for me mandated or not my body my choice remember,Negative,0
alll lies of big pharma,Negative,0
oh get a grip its a cold stop that music to exaggerating this bullshit media outlets and politicians lie to us the first time around so now they going to be honest,Negative,0
phew luckily australia just paid 100million for a mrna vaccine facility incredible timing,Positive,2
were not falling for it again,Positive,2
why dont you people shut the airports down,Neutral,1
give me a break,Neutral,1
its normal to have a flue and cold take naturalremedies theyve been injecting people with viruses to become sick,Negative,0
is this from ukrainian bio lab,Neutral,1
im in australia i may have had this in november 2024 it just hit me overnight when i went to bed i was feeling fine when i woke up my throat was on fire and progressively my symptoms got worse over the day i knew something was wrong i felt very sick all over after waiting in the hospital for hours to be seen yep and spreading it to everyone there and me insisting that it was not just the flue that was going round they xrayed me and waddaya know pneumonia i was on two lots of antibiotics they sent me home where i was so sick i couldnt move lucky i didnt flaming die at home im still weak from it they told me it was some respiratory illness,Negative,0
my parents are non believers when it comes with viruses so i dont know how i think of this,Neutral,1
try harder globalists no ones falling for this again however i wonder they cant be this dumb maybe they have something else up their sleeve that they didnt pull out last time,Negative,0
done on purpose no ones going to get locked up again there would be riots in the streets,Negative,0
bullshitting for billionsagain,Neutral,1
depending on your religion and maybe even your intellect metaphysically speaking this might be one of those new viral pandemics being spread by uranus or by jupiter or perhaps even mars or god help us saturn the gods must be going mad again nevermind trump will save america and then america will save the rest of us,Positive,2
who cares i mean who cares,Positive,2
yes here we go again more fear porn do you remember in the last five years apart from continuing mutations from cvd virus  we had the cow  poo then the chook flu then the bees  disease monkey  pox etc etc,Negative,0
just in time for the us inauguration surely we dont believe this bullshit again,Negative,0
2020 repeating itself,Neutral,1
in 2020 it was clark kentsuperman this time the flu will become shazam,Negative,0
total bullshit is quite common in australia usually coming out of the mouths of politicians and pharmaceutical industry compromised medical staff,Negative,0
more bs again planned release of new experimental germ warfare again,Negative,0
like covid did dr fauci make this too in his lab in wyhan,Positive,2
hmpv human misinformation pushed vindictively,Negative,0
total bs dont get fooled again,Positive,2
fake news media bs as usual,Negative,0
sounds like a loada copyrightcopyrightcopyright to me ,Positive,2
this sounds like a common cold or flu and nothing more,Neutral,1
another engineered virus,Neutral,1
whatever,Neutral,1
nobody is falling for it again believe it or not many of us never fell for the first one keep your blood pure and resist,Negative,0
they are using ai to create viruses to attack certain demographics biological weapons are getting more and more advanced,Negative,0
all this is is another way for them to make out that they dont overreact each time a coldflu presnts itself that last plandemic opened too many eyes for them to simply play that card again but 100 its coming and itll make the last one look like a walk in the park you better believe theyve learnt their missteps,Positive,2
propaganda channel this is,Negative,0
hmpv please show me isolation and purification,Negative,0
according to bill gates and the united nations its called operation catastrophic contagion,Negative,0
hmpv hates most political vision,Negative,0
the last plandemic cured the flulet that fact sink in,Neutral,1
we need daneil andrew back to lead the country thru this,Neutral,1
trusting indian sources now instead of real investigations,Positive,2
